"Airport/Carrier","Max/Min Devs"
"DH-MDW",162
"DH-MDW",-41
"DH-MEM",181
"DH-MEM",-37
"DH-MHT",258
"DH-MHT",-49
"DH-MKE",90
"DH-MKE",-51
"DH-MLI",94
"DH-MLI",-29
"DH-MSN",116
"DH-MSN",-30
"DH-MSY",81
"DH-MSY",-44
"DH-OKC",170
"DH-OKC",-60
"DH-ORD",304
"DH-ORD",-83
"DH-ORF",206
"DH-ORF",-55
"DH-PBI",79
"DH-PBI",-23
"DH-PHL",159
"DH-PHL",-75
"DH-PIA",110
"DH-PIA",-27
"DH-PIT",115
"DH-PIT",-34
"DH-PVD",204
"DH-PVD",-63
"DH-PWM",270
"DH-PWM",-61
"DH-RDU",146
"DH-RDU",-85
"DH-RIC",70
"DH-RIC",-45
"DH-ROA",134
"DH-ROA",-88
"DH-ROC",148
"DH-ROC",-40
"DH-RSW",122
"DH-RSW",-17
"DH-SAN",64
"DH-SAN",-39
"DH-SAV",101
"DH-SAV",-76
"DH-SBN",96
"DH-SBN",-32
"DH-SCE",215
"DH-SCE",-66
"DH-SDF",129
"DH-SDF",-22
"DH-SEA",41
"DH-SEA",-24
"DH-SFO",82
"DH-SFO",-66
"DH-SGF",128
"DH-SGF",-65
"DH-SJC",44
"DH-SJC",-41
"DH-SJU",87
"DH-SJU",1
"DH-STL",176
"DH-STL",-32
"DH-SWF",103
"DH-SWF",-36
"DH-SYR",197
"DH-SYR",-62
"DH-TOL",149
"DH-TOL",-28
"DH-TPA",104
"DH-TPA",-26
"DH-TRI",98
"DH-TRI",-22
"DH-TUL",180
"DH-TUL",-37
"DH-TVC",77
"DH-TVC",-26
"DH-TYS",228
"DH-TYS",-66
"DH-XNA",66
"DH-XNA",-21
"DL-ABE",66
"DL-ABE",-28
"DL-ABQ",231
"DL-ABQ",-44
"DL-AGS",66
"DL-AGS",-24
"DL-ALB",158
"DL-ALB",-49
"DL-ANC",123
"DL-ANC",-59
"DL-ATL",495
"DL-ATL",-78
"DL-AUS",174
"DL-AUS",-47
"DL-BDL",275
"DL-BDL",-61
"DL-BHM",130
"DL-BHM",-33
"DL-BIL",158
"DL-BIL",-28
"DL-BNA",161
"DL-BNA",-32
"DL-BOI",84
"DL-BOI",-57
"DL-BOS",255
"DL-BOS",-61
"DL-BTR",126
"DL-BTR",-36
"DL-BUF",171
"DL-BUF",-39
"DL-BUR",60
"DL-BUR",-33
"DL-BWI",269
"DL-BWI",-104
"DL-BZN",131
"DL-BZN",-30
"DL-CAE",112
"DL-CAE",-33
"DL-CAK",89
"DL-CAK",-24
"DL-CHS",133
"DL-CHS",-31
"DL-CLE",191
"DL-CLE",-43
"DL-CLT",232
"DL-CLT",-39
"DL-CMH",262
"DL-CMH",-53
"DL-COS",174
"DL-COS",-37
"DL-CVG",372
"DL-CVG",-69
"DL-DAB",121
"DL-DAB",-29
"DL-DAY",171
"DL-DAY",-31
"DL-DCA",254
"DL-DCA",-49
"DL-DEN",319
"DL-DEN",-49
"DL-DFW",309
"DL-DFW",-84
"DL-DTW",237
"DL-DTW",-45
"DL-EGE",121
"DL-EGE",-37
"DL-ELP",111
"DL-ELP",-60
"DL-EWR",274
"DL-EWR",-69
"DL-FAI",54
"DL-FAI",-49
"DL-FAY",23
"DL-FAY",-16
"DL-FCA",64
"DL-FCA",-25
"DL-FLL",244
"DL-FLL",-54
"DL-GEG",106
"DL-GEG",-22
"DL-GPT",126
"DL-GPT",-25
"DL-GRR",101
"DL-GRR",-41
"DL-GSO",168
"DL-GSO",-35
"DL-GSP",152
"DL-GSP",-34
"DL-GTF",77
"DL-GTF",-30
"DL-GUC",49
"DL-GUC",-21
"DL-HDN",113
"DL-HDN",-40
"DL-HLN",45
"DL-HLN",-22
"DL-HNL",100
"DL-HNL",-69
"DL-HOU",192
"DL-HOU",-41
"DL-HSV",159
"DL-HSV",-32
"DL-IAD",262
"DL-IAD",-60
"DL-IAH",173
"DL-IAH",-55
"DL-ICT",66
"DL-ICT",-34
"DL-IND",220
"DL-IND",-38
"DL-ISP",109
"DL-ISP",-35
"DL-JAC",96
"DL-JAC",-28
"DL-JAN",139
"DL-JAN",-35
"DL-JAX",254
"DL-JAX",-54
"DL-JFK",370
"DL-JFK",-97
"DL-KOA",50
"DL-KOA",-33
"DL-LAS",247
"DL-LAS",-71
"DL-LAX",225
"DL-LAX",-66
"DL-LEX",184
"DL-LEX",-33
"DL-LGA",265
"DL-LGA",-70
"DL-LIH",26
"DL-LIH",-31
"DL-LIT",125
"DL-LIT",-38
"DL-MCI",188
"DL-MCI",-33
"DL-MCO",184
"DL-MCO",-51
"DL-MDT",59
"DL-MDT",-25
"DL-MDW",178
"DL-MDW",-35
"DL-MEM",132
"DL-MEM",-37
"DL-MGM",48
"DL-MGM",-23
"DL-MHT",192
"DL-MHT",-42
"DL-MIA",187
"DL-MIA",-47
"DL-MKE",158
"DL-MKE",-32
"DL-MLB",219
"DL-MLB",-30
"DL-MLU",112
"DL-MLU",-31
"DL-MOB",143
"DL-MOB",-34
"DL-MSO",70
"DL-MSO",-23
"DL-MSP",536
"DL-MSP",-42
"DL-MSY",227
"DL-MSY",-51
"DL-MTJ",64
"DL-MTJ",-20
"DL-MYR",53
"DL-MYR",-29
"DL-OAK",131
"DL-OAK",-47
"DL-OGG",45
"DL-OGG",-77
"DL-OKC",180
"DL-OKC",-28
"DL-OMA",107
"DL-OMA",-32
"DL-ONT",135
"DL-ONT",-43
"DL-ORD",272
"DL-ORD",-53
"DL-ORF",159
"DL-ORF",-40
"DL-PBI",175
"DL-PBI",-41
"DL-PDX",274
"DL-PDX",-52
"DL-PHF",123
"DL-PHF",-34
"DL-PHL",256
"DL-PHL",-83
"DL-PHX",423
"DL-PHX",-58
"DL-PIT",147
"DL-PIT",-38
"DL-PNS",150
"DL-PNS",-39
"DL-PSC",96
"DL-PSC",-19
"DL-PSP",57
"DL-PSP",-39
"DL-PVD",184
"DL-PVD",-41
"DL-PWM",208
"DL-PWM",-44
"DL-RDU",210
"DL-RDU",-44
"DL-RIC",214
"DL-RIC",-40
"DL-RNO",138
"DL-RNO",-53
"DL-ROC",120
"DL-ROC",-39
"DL-RSW",215
"DL-RSW",-39
"DL-SAN",199
"DL-SAN",-52
"DL-SAT",207
"DL-SAT",-47
"DL-SAV",145
"DL-SAV",-30
"DL-SBN",60
"DL-SBN",-11
"DL-SDF",192
"DL-SDF",-34
"DL-SEA",262
"DL-SEA",-76
"DL-SFO",270
"DL-SFO",-59
"DL-SHV",109
"DL-SHV",-26
"DL-SJC",435
"DL-SJC",-41
"DL-SJU",158
"DL-SJU",-52
"DL-SLC",463
"DL-SLC",-66
"DL-SMF",407
"DL-SMF",-40
"DL-SNA",218
"DL-SNA",-62
"DL-SRQ",178
"DL-SRQ",-34
"DL-STL",179
"DL-STL",-31
"DL-STT",392
"DL-STT",-50
"DL-STX",50
"DL-STX",-23
"DL-SYR",161
"DL-SYR",-51
"DL-TLH",178
"DL-TLH",-34
"DL-TPA",238
"DL-TPA",-51
"DL-TUL",126
"DL-TUL",-33
"DL-TUS",206
"DL-TUS",-39
"DL-TYS",147
"DL-TYS",-29
"DL-VPS",105
"DL-VPS",-26
"EV-ABE",205
"EV-ABE",-58
"EV-ABI",41
"EV-ABI",-62
"EV-ABQ",62
"EV-ABQ",-15
"EV-ABY",106
"EV-ABY",-27
"EV-ACY",142
"EV-ACY",-52
"EV-AEX",135
"EV-AEX",-37
"EV-AGS",150
"EV-AGS",-40
"EV-ALB",112
"EV-ALB",-55
"EV-AMA",74
"EV-AMA",-24
"EV-APF",64
"EV-APF",-39
"EV-ATL",312
"EV-ATL",-120
"EV-ATW",183
"EV-ATW",-38
"EV-AUS",130
"EV-AUS",-48
"EV-AVL",155
"EV-AVL",-67
"EV-AVP",167
"EV-AVP",-47
"EV-AZO",129
"EV-AZO",-42
"EV-BDL",46
"EV-BDL",-40
"EV-BGM",82
"EV-BGM",-35
"EV-BGR",79
"EV-BGR",-41
"EV-BHM",164
"EV-BHM",-69
"EV-BIL",50
"EV-BIL",-30
"EV-BMI",111
"EV-BMI",-33
"EV-BNA",130
"EV-BNA",-31
"EV-BOI",40
"EV-BOI",-23
"EV-BOS",198
"EV-BOS",-30
"EV-BPT",90
"EV-BPT",-34
"EV-BQK",156
"EV-BQK",-28
"EV-BTR",180
"EV-BTR",-35
"EV-BTV",80
"EV-BTV",-46
"EV-BUF",223
"EV-BUF",-45
"EV-BWI",122
"EV-BWI",-40
"EV-BZN",135
"EV-BZN",-33
"EV-CAE",323
"EV-CAE",-85
"EV-CAK",194
"EV-CAK",-41
"EV-CHA",134
"EV-CHA",-75
"EV-CHO",157
"EV-CHO",-47
"EV-CHS",130
"EV-CHS",-105
"EV-CID",93
"EV-CID",-40
"EV-CLE",156
"EV-CLE",-53
"EV-CLT",125
"EV-CLT",-40
"EV-CMH",138
"EV-CMH",-26
"EV-CMI",56
"EV-CMI",-34
"EV-CRP",129
"EV-CRP",-38
"EV-CRW",131
"EV-CRW",-43
"EV-CSG",87
"EV-CSG",-32
"EV-CVG",339
"EV-CVG",-62
"EV-DAB",139
"EV-DAB",-38
"EV-DAL",58
"EV-DAL",-39
"EV-DAY",149
"EV-DAY",-36
"EV-DCA",170
"EV-DCA",-90
"EV-DEN",172
"EV-DEN",-36
"EV-DFW",890
"EV-DFW",-135
"EV-DHN",161
"EV-DHN",-35
"EV-DSM",108
"EV-DSM",-41
"EV-DTW",160
"EV-DTW",-44
"EV-ELP",90
"EV-ELP",-67
"EV-ERI",66
"EV-ERI",-38
"EV-EVV",176
"EV-EVV",-33
"EV-EWN",134
"EV-EWN",-24
"EV-EWR",99
"EV-EWR",-101
"EV-EYW",110
"EV-EYW",-67
"EV-FAY",139
"EV-FAY",-42
"EV-FCA",54
"EV-FCA",-26
"EV-FLL",122
"EV-FLL",-32
"EV-FLO",112
"EV-FLO",-27
"EV-FNT",218
"EV-FNT",-46
"EV-FSD",69
"EV-FSD",-56
"EV-FSM",152
"EV-FSM",-25
"EV-FWA",143
"EV-FWA",-61
"EV-GEG",60
"EV-GEG",-23
"EV-GNV",94
"EV-GNV",-76
"EV-GPT",196
"EV-GPT",-57
"EV-GRB",51
"EV-GRB",-39
"EV-GRK",114
"EV-GRK",-42
"EV-GRR",124
"EV-GRR",-52
"EV-GSO",199
"EV-GSO",-41
"EV-GSP",161
"EV-GSP",-32
"EV-GTR",102
"EV-GTR",-68
"EV-HDN",30
"EV-HDN",-20
"EV-HHH",89
"EV-HHH",-45
"EV-HKY",110
"EV-HKY",-25
"EV-HOU",134
"EV-HOU",-41
"EV-HPN",207
"EV-HPN",-51
"EV-HSV",135
"EV-HSV",-80
"EV-HTS",62
"EV-HTS",-29
"EV-IAD",131
"EV-IAD",-52
"EV-IAH",173
"EV-IAH",-42
"EV-ICT",130
"EV-ICT",-63
"EV-ILE",29
"EV-ILE",-22
"EV-ILG",114
"EV-ILG",-47
"EV-ILM",598
"EV-ILM",-55
"EV-IND",135
"EV-IND",-71
"EV-ISO",116
"EV-ISO",-31
"EV-ISP",151
"EV-ISP",-72
"EV-JAC",75
"EV-JAC",-30
"EV-JAN",155
"EV-JAN",-118
"EV-JAX",111
"EV-JAX",-53
"EV-JFK",157
"EV-JFK",-69
"EV-LAN",72
"EV-LAN",-47
"EV-LAS",65
"EV-LAS",-34
"EV-LAW",96
"EV-LAW",-33
"EV-LAX",75
"EV-LAX",-37
"EV-LBB",106
"EV-LBB",-23
"EV-LEX",111
"EV-LEX",-46
"EV-LFT",172
"EV-LFT",-60
"EV-LGA",164
"EV-LGA",-42
"EV-LIT",167
"EV-LIT",-35
"EV-LWB",70
"EV-LWB",-27
"EV-LYH",105
"EV-LYH",-47
"EV-MAF",30
"EV-MAF",-25
"EV-MCI",96
"EV-MCI",-67
"EV-MCN",95
"EV-MCN",-41
"EV-MCO",115
"EV-MCO",-55
"EV-MDT",104
"EV-MDT",-43
"EV-MDW",190
"EV-MDW",-45
"EV-MEI",171
"EV-MEI",-93
"EV-MEM",154
"EV-MEM",-46
"EV-MFE",93
"EV-MFE",-37
"EV-MGM",148
"EV-MGM",-60
"EV-MHT",131
"EV-MHT",-47
"EV-MIA",130
"EV-MIA",-21
"EV-MKE",163
"EV-MKE",-72
"EV-MLB",257
"EV-MLB",-69
"EV-MLI",106
"EV-MLI",-37
"EV-MLU",127
"EV-MLU",-62
"EV-MOB",187
"EV-MOB",-64
"EV-MSN",164
"EV-MSN",-35
"EV-MSO",55
"EV-MSO",-26
"EV-MSP",120
"EV-MSP",-49
"EV-MSY",167
"EV-MSY",-59
"EV-MTH",79
"EV-MTH",-23
"EV-MYR",147
"EV-MYR",-79
"EV-OAJ",104
"EV-OAJ",-49
"EV-OAK",183
"EV-OAK",-76
"EV-OKC",151
"EV-OKC",-39
"EV-OMA",169
"EV-OMA",-44
"EV-ONT",65
"EV-ONT",-115
"EV-ORD",168
"EV-ORD",-40
"EV-ORF",154
"EV-ORF",-37
"EV-PBI",96
"EV-PBI",-28
"EV-PDX",47
"EV-PDX",-25
"EV-PFN",121
"EV-PFN",-71
"EV-PHF",143
"EV-PHF",-74
"EV-PHL",131
"EV-PHL",-48
"EV-PHX",136
"EV-PHX",-35
"EV-PIA",126
"EV-PIA",-37
"EV-PIH",0
"EV-PIH",0
"EV-PIT",122
"EV-PIT",-70
"EV-PNS",176
"EV-PNS",-36
"EV-PSC",42
"EV-PSC",-21
"EV-PSP",36
"EV-PSP",-25
"EV-PVD",135
"EV-PVD",-48
"EV-PVU",0
"EV-PVU",0
"EV-PWM",203
"EV-PWM",-46
"EV-RAP",13
"EV-RAP",-19
"EV-RDU",224
"EV-RDU",-111
"EV-RIC",107
"EV-RIC",-41
"EV-RNO",122
"EV-RNO",-24
"EV-ROA",180
"EV-ROA",-126
"EV-ROC",131
"EV-ROC",-49
"EV-RSW",2
"EV-RSW",0
"EV-SAN",50
"EV-SAN",-28
"EV-SAT",196
"EV-SAT",-74
"EV-SAV",150
"EV-SAV",-83
"EV-SBN",171
"EV-SBN",-77
"EV-SCE",76
"EV-SCE",-16
"EV-SDF",170
"EV-SDF",-32
"EV-SEA",37
"EV-SEA",-26
"EV-SFO",71
"EV-SFO",-29
"EV-SGF",129
"EV-SGF",-62
"EV-SHV",187
"EV-SHV",-123
"EV-SJC",50
"EV-SJC",-26
"EV-SLC",130
"EV-SLC",-148
"EV-SMF",94
"EV-SMF",-30
"EV-SNA",147
"EV-SNA",-226
"EV-SOP",63
"EV-SOP",-17
"EV-SRQ",121
"EV-SRQ",-36
"EV-STL",98
"EV-STL",-38
"EV-SWF",134
"EV-SWF",-50
"EV-SYR",142
"EV-SYR",-48
"EV-TLH",160
"EV-TLH",-33
"EV-TOL",111
"EV-TOL",-44
"EV-TPA",230
"EV-TPA",-32
"EV-TRI",114
"EV-TRI",-51
"EV-TUL",117
"EV-TUL",-43
"EV-TUP",168
"EV-TUP",-32
"EV-TUS",93
"EV-TUS",-34
"EV-TVC",52
"EV-TVC",-24
"EV-TXK",47
"EV-TXK",-20
"EV-TYR",0
"EV-TYR",0
"EV-TYS",142
"EV-TYS",-43
"EV-VLD",129
"EV-VLD",-43
"EV-VPS",512
"EV-VPS",-56
"EV-XNA",156
"EV-XNA",-87
"F9-ABQ",134
"F9-ABQ",-20
"F9-ANC",65
"F9-ANC",-49
"F9-ATL",119
"F9-ATL",-38
"F9-AUS",113
"F9-AUS",-24
"F9-BDL",68
"F9-BDL",-29
"F9-BNA",77
"F9-BNA",-27
"F9-BOI",60
"F9-BOI",-35
"F9-BTR",1
"F9-BTR",1
"F9-BWI",133
"F9-BWI",-38
"F9-BZN",-3
"F9-BZN",-3
"F9-CAK",127
"F9-CAK",-40
"F9-CLT",20
"F9-CLT",20
"F9-DAY",75
"F9-DAY",-27
"F9-DCA",183
"F9-DCA",-49
"F9-DEN",238
"F9-DEN",-82
"F9-DFW",220
"F9-DFW",-28
"F9-DTW",115
"F9-DTW",-37
"F9-ELP",9
"F9-ELP",-16
"F9-FAT",71
"F9-FAT",-14
"F9-FLL",202
"F9-FLL",-34
"F9-GEG",83
"F9-GEG",-20
"F9-IAH",100
"F9-IAH",-30
"F9-IND",143
"F9-IND",-31
"F9-JAC",42
"F9-JAC",-24
"F9-JAX",55
"F9-JAX",-30
"F9-LAS",109
"F9-LAS",-24
"F9-LAX",115
"F9-LAX",-30
"F9-LGA",203
"F9-LGA",-49
"F9-MCI",123
"F9-MCI",-23
"F9-MCO",120
"F9-MCO",-37
"F9-MDW",216
"F9-MDW",-27
"F9-MEM",62
"F9-MEM",-28
"F9-MKE",153
"F9-MKE",-63
"F9-MSP",138
"F9-MSP",-30
"F9-MSY",64
"F9-MSY",-16
"F9-OKC",49
"F9-OKC",-31
"F9-OMA",87
"F9-OMA",-21
"F9-PBI",54
"F9-PBI",-16
"F9-PDX",126
"F9-PDX",-30
"F9-PHL",222
"F9-PHL",-50
"F9-PHX",125
"F9-PHX",-24
"F9-RNO",69
"F9-RNO",-23
"F9-RSW",136
"F9-RSW",-41
"F9-SAN",141
"F9-SAN",-30
"F9-SAT",63
"F9-SAT",-23
"F9-SDF",87
"F9-SDF",-20
"F9-SEA",156
"F9-SEA",-30
"F9-SFO",98
"F9-SFO",-27
"F9-SJC",120
"F9-SJC",-29
"F9-SLC",157
"F9-SLC",-22
"F9-SMF",122
"F9-SMF",-26
"F9-SNA",159
"F9-SNA",-26
"F9-STL",173
"F9-STL",-27
"F9-TPA",99
"F9-TPA",-36
"F9-TUL",17
"F9-TUL",-8
"F9-TUS",80
"F9-TUS",-21
"FL-ATL",485
"FL-ATL",-110
"FL-BMI",225
"FL-BMI",-32
"FL-BOS",264
"FL-BOS",-56
"FL-BTV",73
"FL-BTV",-17
"FL-BUF",140
"FL-BUF",-52
"FL-BWI",231
"FL-BWI",-52
"FL-CAK",175
"FL-CAK",-54
"FL-CHS",103
"FL-CHS",-23
"FL-CLT",212
"FL-CLT",-32
"FL-CMH",40
"FL-CMH",-35
"FL-DAB",66
"FL-DAB",-35
"FL-DAY",150
"FL-DAY",-38
"FL-DCA",200
"FL-DCA",-38
"FL-DEN",195
"FL-DEN",-43
"FL-DFW",310
"FL-DFW",-73
"FL-DTW",193
"FL-DTW",-38
"FL-EWR",390
"FL-EWR",-96
"FL-FLL",208
"FL-FLL",-46
"FL-FNT",174
"FL-FNT",-46
"FL-GPT",129
"FL-GPT",-40
"FL-GSO",102
"FL-GSO",-21
"FL-HOU",178
"FL-HOU",-36
"FL-HPN",264
"FL-HPN",-41
"FL-IAD",227
"FL-IAD",-47
"FL-ICT",131
"FL-ICT",-26
"FL-IND",159
"FL-IND",-39
"FL-JAX",173
"FL-JAX",-26
"FL-LAS",183
"FL-LAS",-77
"FL-LAX",120
"FL-LAX",-74
"FL-LGA",246
"FL-LGA",-61
"FL-MCI",135
"FL-MCI",-40
"FL-MCO",236
"FL-MCO",-49
"FL-MDT",40
"FL-MDT",-23
"FL-MDW",221
"FL-MDW",-40
"FL-MEM",209
"FL-MEM",-31
"FL-MIA",176
"FL-MIA",-30
"FL-MKE",225
"FL-MKE",-41
"FL-MLI",179
"FL-MLI",-40
"FL-MSP",276
"FL-MSP",-40
"FL-MSY",166
"FL-MSY",-31
"FL-MYR",219
"FL-MYR",-30
"FL-PBI",154
"FL-PBI",-41
"FL-PHF",174
"FL-PHF",-40
"FL-PHL",220
"FL-PHL",-85
"FL-PHX",63
"FL-PHX",-55
"FL-PIT",147
"FL-PIT",-31
"FL-PNS",184
"FL-PNS",-27
"FL-PWM",182
"FL-PWM",-46
"FL-RDU",154
"FL-RDU",-35
"FL-RIC",170
"FL-RIC",-38
"FL-ROC",167
"FL-ROC",-45
"FL-RSW",159
"FL-RSW",-57
"FL-SAN",54
"FL-SAN",-73
"FL-SAT",79
"FL-SAT",-29
"FL-SAV",102
"FL-SAV",-20
"FL-SEA",73
"FL-SEA",-43
"FL-SFO",232
"FL-SFO",-80
"FL-SJU",54
"FL-SJU",-38
"FL-SRQ",254
"FL-SRQ",-54
"FL-STL",196
"FL-STL",-24
"FL-SWF",168
"FL-SWF",-47
"FL-TLH",79
"FL-TLH",-23
"FL-TPA",281
"FL-TPA",-40
"HA-ANC",14
"HA-ANC",-15
"HA-HNL",977
"HA-HNL",-243
"HA-ITO",167
"HA-ITO",-18
"HA-KOA",281
"HA-KOA",-12
"HA-LAS",467
"HA-LAS",-55
"HA-LAX",839
"HA-LAX",-59
"HA-LIH",309
"HA-LIH",-12
"HA-LNY",15
"HA-LNY",-6
"HA-MKK",7
"HA-MKK",-12
"HA-OAK",36
"HA-OAK",-32
"HA-OGG",1108
"HA-OGG",-52
"HA-ONT",43
"HA-ONT",-44
"HA-PDX",737
"HA-PDX",-65
"HA-PHX",520
"HA-PHX",-65
"HA-PIT",-57
"HA-PIT",-57
"HA-SAN",348
"HA-SAN",-54
"HA-SEA",1034
"HA-SEA",-76
"HA-SFO",890
"HA-SFO",-55
"HA-SJC",359
"HA-SJC",-54
"HA-SMF",306
"HA-SMF",-62
"HP-ABQ",419
"HP-ABQ",-34
"HP-ANC",69
"HP-ANC",-44
"HP-ATL",231
"HP-ATL",-52
"HP-AUS",129
"HP-AUS",-34
"HP-BDL",132
"HP-BDL",-77
"HP-BOI",58
"HP-BOI",-34
"HP-BOS",166
"HP-BOS",-209
"HP-BUR",127
"HP-BUR",-29
"HP-BWI",199
"HP-BWI",-66
"HP-CLE",140
"HP-CLE",-60
"HP-CMH",213
"HP-CMH",-64
"HP-COS",142
"HP-COS",-29
"HP-DCA",215
"HP-DCA",-63
"HP-DEN",167
"HP-DEN",-65
"HP-DFW",225
"HP-DFW",-46
"HP-DSM",45
"HP-DSM",-45
"HP-DTW",218
"HP-DTW",-74
"HP-ELP",78
"HP-ELP",-33
"HP-EWR",403
"HP-EWR",-78
"HP-FCA",11
"HP-FCA",-29
"HP-FLL",96
"HP-FLL",-54
"HP-GEG",107
"HP-GEG",-41
"HP-HNL",26
"HP-HNL",-33
"HP-IAD",199
"HP-IAD",-59
"HP-IAH",134
"HP-IAH",-41
"HP-ICT",54
"HP-ICT",-26
"HP-IND",81
"HP-IND",-56
"HP-JFK",309
"HP-JFK",-87
"HP-LAS",1283
"HP-LAS",-100
"HP-LAX",190
"HP-LAX",-67
"HP-LGA",11
"HP-LGA",-10
"HP-LGB",115
"HP-LGB",-24
"HP-MCI",85
"HP-MCI",-47
"HP-MCO",131
"HP-MCO",-50
"HP-MDW",34
"HP-MDW",-27
"HP-MIA",155
"HP-MIA",-55
"HP-MKE",97
"HP-MKE",-59
"HP-MSP",185
"HP-MSP",-57
"HP-MSY",74
"HP-MSY",-53
"HP-OAK",421
"HP-OAK",-32
"HP-OGG",16
"HP-OGG",-43
"HP-OMA",184
"HP-OMA",-42
"HP-ONT",173
"HP-ONT",-26
"HP-ORD",234
"HP-ORD",-58
"HP-PDX",456
"HP-PDX",-34
"HP-PHL",204
"HP-PHL",-85
"HP-PHX",228
"HP-PHX",-94
"HP-PIT",83
"HP-PIT",-64
"HP-PSP",30
"HP-PSP",-10
"HP-RDU",83
"HP-RDU",-55
"HP-RNO",115
"HP-RNO",-51
"HP-RSW",106
"HP-RSW",-21
"HP-SAN",457
"HP-SAN",-51
"HP-SAT",89
"HP-SAT",-34
"HP-SEA",182
"HP-SEA",-39
"HP-SFO",147
"HP-SFO",-42
"HP-SJC",175
"HP-SJC",-26
"HP-SLC",130
"HP-SLC",-34
"HP-SMF",89
"HP-SMF",-51
"HP-SNA",175
"HP-SNA",-30
"HP-STL",89
"HP-STL",-47
"HP-TPA",118
"HP-TPA",-70
"HP-TUS",86
"HP-TUS",-21
"MQ-ABI",245
"MQ-ABI",-26
"MQ-ABQ",84
"MQ-ABQ",-39
"MQ-ACT",214
"MQ-ACT",-31
"MQ-AEX",172
"MQ-AEX",-33
"MQ-ALB",272
"MQ-ALB",-41
"MQ-AMA",180
"MQ-AMA",-30
"MQ-ATL",174
"MQ-ATL",-39
"MQ-AUS",241
"MQ-AUS",-37
"MQ-AZO",155
"MQ-AZO",-25
"MQ-BDL",251
"MQ-BDL",-38
"MQ-BGR",169
"MQ-BGR",-30
"MQ-BHM",142
"MQ-BHM",-31
"MQ-BMI",194
"MQ-BMI",-27
"MQ-BNA",281
"MQ-BNA",-41
"MQ-BOI",112
"MQ-BOI",-37
"MQ-BOS",239
"MQ-BOS",-57
"MQ-BPT",25
"MQ-BPT",-20
"MQ-BTR",433
"MQ-BTR",-44
"MQ-BTV",76
"MQ-BTV",-30
"MQ-BUF",181
"MQ-BUF",-31
"MQ-BWI",181
"MQ-BWI",-43
"MQ-CAE",564
"MQ-CAE",-34
"MQ-CHA",144
"MQ-CHA",-35
"MQ-CHS",90
"MQ-CHS",-50
"MQ-CID",221
"MQ-CID",-37
"MQ-CLE",213
"MQ-CLE",-54
"MQ-CLL",112
"MQ-CLL",-37
"MQ-CLT",330
"MQ-CLT",-45
"MQ-CMH",233
"MQ-CMH",-45
"MQ-CMI",195
"MQ-CMI",-29
"MQ-COS",188
"MQ-COS",-26
"MQ-CRP",151
"MQ-CRP",-24
"MQ-CVG",201
"MQ-CVG",-43
"MQ-CWA",108
"MQ-CWA",-22
"MQ-DAL",168
"MQ-DAL",-33
"MQ-DAY",235
"MQ-DAY",-42
"MQ-DBQ",291
"MQ-DBQ",-28
"MQ-DCA",243
"MQ-DCA",-38
"MQ-DFW",315
"MQ-DFW",-51
"MQ-DLH",109
"MQ-DLH",-27
"MQ-DRO",39
"MQ-DRO",-22
"MQ-DSM",211
"MQ-DSM",-34
"MQ-DTW",236
"MQ-DTW",-52
"MQ-ELP",20
"MQ-ELP",-29
"MQ-EVV",211
"MQ-EVV",-37
"MQ-EWR",215
"MQ-EWR",-48
"MQ-EYW",90
"MQ-EYW",-20
"MQ-FAT",161
"MQ-FAT",-31
"MQ-FLL",98
"MQ-FLL",-39
"MQ-FNT",210
"MQ-FNT",-35
"MQ-FSD",169
"MQ-FSD",-23
"MQ-FSM",190
"MQ-FSM",-34
"MQ-FWA",189
"MQ-FWA",-49
"MQ-GGG",182
"MQ-GGG",-22
"MQ-GJT",150
"MQ-GJT",-21
"MQ-GPT",218
"MQ-GPT",-24
"MQ-GRB",150
"MQ-GRB",-31
"MQ-GRK",171
"MQ-GRK",-25
"MQ-GRR",226
"MQ-GRR",-44
"MQ-GSO",154
"MQ-GSO",-46
"MQ-GSP",249
"MQ-GSP",-40
"MQ-HOU",173
"MQ-HOU",-28
"MQ-HPN",272
"MQ-HPN",-50
"MQ-HSV",137
"MQ-HSV",-32
"MQ-IAD",201
"MQ-IAD",-39
"MQ-IAH",172
"MQ-IAH",-28
"MQ-ICT",210
"MQ-ICT",-32
"MQ-ILE",137
"MQ-ILE",-24
"MQ-IND",221
"MQ-IND",-31
"MQ-ISP",105
"MQ-ISP",-25
"MQ-JAN",370
"MQ-JAN",-60
"MQ-JAX",342
"MQ-JAX",-43
"MQ-JFK",286
"MQ-JFK",-60
"MQ-LAS",84
"MQ-LAS",-26
"MQ-LAW",135
"MQ-LAW",-26
"MQ-LAX",154
"MQ-LAX",-38
"MQ-LBB",238
"MQ-LBB",-32
"MQ-LEX",193
"MQ-LEX",-38
"MQ-LFT",121
"MQ-LFT",-48
"MQ-LGA",309
"MQ-LGA",-64
"MQ-LIT",289
"MQ-LIT",-37
"MQ-LNK",125
"MQ-LNK",-23
"MQ-LRD",167
"MQ-LRD",-45
"MQ-LSE",148
"MQ-LSE",-22
"MQ-MAF",237
"MQ-MAF",-27
"MQ-MAZ",16
"MQ-MAZ",-12
"MQ-MCI",113
"MQ-MCI",-27
"MQ-MCO",73
"MQ-MCO",-24
"MQ-MDT",355
"MQ-MDT",-47
"MQ-MDW",187
"MQ-MDW",-37
